Row Labels,Average of Adj Close,,,,
2010,,,Date,Average,
Jun,23.8599995,,06/2010,23.8599995,
Jul,19.558095,,07/2010,19.558095,
Aug,19.51090941,,08/2010,19.51090941,
Sep,20.74047619,,09/2010,20.74047619,
Oct,20.71333343,,10/2010,20.71333343,
Nov,29.0419051,,11/2010,29.0419051,
Dec,30.28863591,,12/2010,30.28863591,
2011,,,01/2011,25.643,
Jan,25.643,,02/2011,23.33368416,
Feb,23.33368416,,03/2011,23.7086957,
Mar,23.7086957,,04/2011,26.166,
Apr,26.166,,05/2011,27.61285714,
May,27.61285714,,06/2011,27.88409105,
Jun,27.88409105,,07/2011,28.4139999,
Jul,28.4139999,,08/2011,24.81956504,
Aug,24.81956504,,09/2011,24.60952371,
Sep,24.60952371,,10/2011,27.49857148,
Oct,27.49857148,,11/2011,32.0799999,
Nov,32.0799999,,12/2011,29.97999976,
Dec,29.97999976,,01/2012,27.49000005,
2012,,,02/2012,32.7619999,
Jan,27.49000005,,03/2012,35.24090955,
Feb,32.7619999,,04/2012,33.4950003,
Mar,35.24090955,,05/2012,30.77363614,
Apr,33.4950003,,06/2012,30.62333329,
May,30.77363614,,07/2012,31.04190481,
Jun,30.62333329,,08/2012,29.04478274,
Jul,31.04190481,,09/2012,29.30421058,
Aug,29.04478274,,10/2012,28.34333305,
Sep,29.30421058,,11/2012,31.73285719,
Oct,28.34333305,,12/2012,34.1755,
Nov,31.73285719,,01/2013,35.18857138,
Dec,34.1755,,02/2013,37.36631595,
2013,,,03/2013,37.04300015,
Jan,35.18857138,,04/2013,46.23545455,
Feb,37.36631595,,05/2013,81.39909082,
Mar,37.04300015,,06/2013,100.4805004,
Apr,46.23545455,,07/2013,123.1549991,
May,81.39909082,,08/2013,150.4068168,
Jun,100.4805004,,09/2013,173.9724983,
Jul,123.1549991,,10/2013,174.6873906,
Aug,150.4068168,,11/2013,137.2564995,
Sep,173.9724983,,12/2013,144.8099997,
Oct,174.6873906,,01/2014,164.0519047,
Nov,137.2564995,,02/2014,206.0231573,
Dec,144.8099997,,03/2014,233.1466667,
2014,,,04/2014,208.2876187,
Jan,164.0519047,,05/2014,199.6742859,
Feb,206.0231573,,06/2014,219.6585707,
Mar,233.1466667,,07/2014,223.24591,
Apr,208.2876187,,08/2014,255.5876195,
May,199.6742859,,09/2014,264.9109541,
Jun,219.6585707,,10/2014,239.3817403,
Jul,223.24591,,11/2014,246.5831579,
Aug,255.5876195,,12/2014,218.6613638,
Sep,264.9109541,,01/2015,203.2554993,
Oct,239.3817403,,02/2015,210.6731592,
Nov,246.5831579,,03/2015,194.718184,
Dec,218.6613638,,04/2015,211.6114284,
2015,,,05/2015,242.2204995,
Jan,203.2554993,,06/2015,257.001822,
Feb,210.6731592,,07/2015,266.599547,
Mar,194.718184,,08/2015,244.5504746,
Apr,211.6114284,,09/2015,252.9061911,
May,242.2204995,,10/2015,221.9827285,
Jun,257.001822,,11/2015,220.8820008,
Jul,266.599547,,12/2015,230.1718195,
Aug,244.5504746,,01/2016,204.5621049,
Sep,252.9061911,,02/2016,169.6699997,
Oct,221.9827285,,03/2016,208.2357133,
Nov,220.8820008,,,,
Dec,230.1718195,,,,
2016,,,,,
Jan,204.5621049,,,,
Feb,169.6699997,,,,
Mar,208.2357133,,,,
Grand Total,116.8186122,,,,
